# p31 sites — machine-readable ledger (tools/string_sites.py --p31-tsv); consumed by lower.py --strings-sites
# dis sha256=5c1db5fb75c8c26a70eaeab5760213973d1c80e8711b6dacbb9c28376d4118f4
# blocks sha256=1d3baaf6487a8e3faf4c900e49dbcaae6ddbe1e7f996a47b161c74b502b43477
# mem sha256=1d44317d0995843e28fd576adffb8be977489975760def777d7e7c2a70803074
# pc	op	block	func	idiom	dest	verdict	category	reason	fold	ir
7015E7CB	WCMV	7015E78E	ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+12*N[(ac0@entry-0XFFFF859)]-0XFFFFD9A)]+73) is not a constant or a length word		
7015E890	WCMV	7015E887	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015E887 7015E889 7015E88A 7015E88C 7015E88E	[@wp(ac3, 14), 54 varying] = [@0x7015D611:0, "\x0A\x0BAlbion can not be attacked without the magic shard!\x0A"]
7015E8C0	WCMV	7015E8B7	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015E8B7 7015E8B9 7015E8BA 7015E8BC 7015E8BE	[@wp(ac3, 42), 56 varying] = [@0x7015D569:0, "\x0A\x0BYour powerful opponent laughs at your feeble attempt!\x0A"]
7015E92A	WCMV	7015E921	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015E921 7015E923 7015E924 7015E926 7015E928	[@wp(ac3, 14), 25 varying] = [@0x7015D55B:0, "\x0A\x0BOh Shit! He dodged it!\x0A"]
7015E945	WCMV	7015E93C	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015E93C 7015E93E 7015E93F 7015E941 7015E943	[@wp(ac3, 14), 36 varying] = [@0x7015D549:0, "\x0A\x0BThe lightning bolt has no effect!\x0A"]
7015E990	WCMV	7015E95E	ATTACK	ASSIGN-STR-VARYING	a	EMIT			7015E987 7015E989 7015E98A 7015E98C 7015E98E	[@wp(ac3, 112), 71 varying] = [@bp(ac3, 148), 71]
7015EAE4	WCMV	7015EADB	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015EADB 7015EADD 7015EADE 7015EAE0 7015EAE2	[@wp(ac3, 14), 44 varying] = [@0x7015D533:0, "\x0A\x0BYou cannot teleport while being attacked!\x0A"]
7015EB06	WCMV	7015EAFD	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015EAFD 7015EAFF 7015EB00 7015EB02 7015EB04	[@wp(ac3, 14), 47 varying] = [@0x7015D51B:0, "\x0A\x0BYou cannot concentrate while being attacked!\x0A"]
7015EB25	WCMV	7015EB1C	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015EB1C 7015EB1E 7015EB1F 7015EB21 7015EB23	[@wp(ac3, 14), 45 varying] = [@0x7015D503:0, "\x0A\x0BYou cannot camaflage while being attacked!\x0A"]
7015EBA7	WCMV	7015EB9E	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015EB9E 7015EBA0 7015EBA1 7015EBA3 7015EBA5	[@wp(ac3, 14), 28 varying] = [@0x7015D4F5:0, "\x0A\x0BYou don't own a caduceus!\x0A"]
7015EC3C	WCMV	7015EC33	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015EC33 7015EC35 7015EC36 7015EC38 7015EC3A	[@wp(ac3, 14), 50 varying] = [@0x7015D4DB:0, "\x0A\x0BYou can't do that without an invisibility ring.\x0A"]
7015ECAA	WCMV	7015ECA1	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015ECA1 7015ECA3 7015ECA4 7015ECA6 7015ECA8	[@wp(ac3, 14), 47 varying] = [@0x7015D4C3:0, "\x0A\x0BThe Dark Lord's staff counteracts the field.\x0A"]
7015ED7B	WCMV	7015ED72	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015ED72 7015ED74 7015ED75 7015ED77 7015ED79	[@wp(ac3, 14), 52 varying] = [@0x7015D4A9:0, "\x0A\x0BYou cannot concentrate while you are under attack\x0A"]
7015EDA4	WCMV	7015ED9B	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015ED9B 7015ED9D 7015ED9E 7015EDA0 7015EDA2	[@wp(ac3, 14), 39 varying] = [@0x7015D495:0, "\x0A\x0BThe fahrenheit foiler has no effect!\x0A"]
7015EE42	WCMV	7015EE10	ATTACK	ASSIGN-STR-VARYING	a	REFUSE	COMPUTED-OPERAND	opaque op CVWN in an operand: CVWN(WHLV(WHLV(N[(+686*N[0x70000216]+W[0x70000210]-0X178)])))		
7015EF2C	WCMV	7015EF23	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015EF23 7015EF25 7015EF26 7015EF28 7015EF2A	[@wp(ac3, 14), 38 varying] = [@0x7015D481:0, "\x0A\x0BYou do not own Thor's magic hammer!\x0A"]
7015EFCA	WCMV	7015EF98	ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(fp+14)]+41) is not a constant or a length word		
7015F0C9	WCMV	7015F0C0	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F0C0 7015F0C2 7015F0C3 7015F0C5 7015F0C7	[@wp(ac3, 14), 35 varying] = [@0x7015D46F:0, "\x0A\x0BYou do not own a staff of death!\x0A"]
7015F10A	WCMV	7015F101	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F101 7015F103 7015F104 7015F106 7015F108	[@wp(ac3, 14), 52 varying] = [@0x7015D455:0, "\x0A\x0BThe power of the staff of death has been averted.\x0A"]
7015F120	WCMV	7015F117	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F117 7015F119 7015F11A 7015F11C 7015F11E	[@wp(ac3, 74), 62 varying] = [@0x7015D435:0, "\x0A\x0BThe power of the staff of death cannot be defended against.\x0A"]
7015F180	WCMV	7015F177	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F177 7015F179 7015F17A 7015F17C 7015F17E	[@wp(ac3, 14), 33 varying] = [@0x7015D423:0, "\x0A\x0BYou do not have a magic cloak!\x0A"]
7015F21E	WCMV	7015F215	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015F215 7015F217 7015F218 7015F21A 7015F21C	[@wp(ac3, 14), 28 varying] = [@0x7015D415:0, "\x0A\x0BYour spell has no effect!\x0A"]
